MAT,MAP,SOC,Soil_total_N,Wheat_type,N_rate,Animal_manure,Topdressing,Irrigation,DFA,EFFs,Straw_incorporation,Wheat_cultivar,Soil_tillage,Crop_cultivation,Yield,N_surplus
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.48 ,-33 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.57 ,24 
14.9 ,775 ,7.4 ,1.0 ,Winter,225,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.92 ,36 
14.9 ,775 ,7.4 ,1.0 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.57 ,-28 
14.9 ,659 ,7.4 ,1.0 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.66 ,61 
14.9 ,659 ,7.4 ,1.0 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.53 ,5 
15.5 ,1038 ,20.2 ,2.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,5.99 ,175 
15.5 ,1038 ,20.2 ,2.1 ,Winter,225,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,5.89 ,103 
14.2 ,816 ,11.6 ,1.6 ,Winter,187.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.37 ,88 
14.2 ,816 ,11.6 ,1.6 ,Winter,210,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.77 ,108 
14.2 ,816 ,11.6 ,1.6 ,Winter,196,0,Yes,Yes,No,Yes,Yes,New,Traditional,Traditional,6.85 ,89 
14.2 ,816 ,11.6 ,1.6 ,Winter,196,0,Yes,Yes,No,Yes,Yes,New,Traditional,Traditional,6.90 ,87 
14.2 ,816 ,11.6 ,1.6 ,Winter,196,0,Yes,Yes,No,Yes,Yes,New,Traditional,Traditional,6.93 ,85 
14.2 ,816 ,11.6 ,1.6 ,Winter,156.8,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.62 ,51 
14.2 ,816 ,11.6 ,1.6 ,Winter,156.8,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.51 ,51 
14.2 ,816 ,11.6 ,1.6 ,Winter,156.8,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.80 ,46 
7.8 ,400 ,10.3 ,1.2 ,Winter,120,0,Yes,No,No,No,Yes,New,Traditional,Traditional,5.11 ,0 
7.8 ,400 ,10.3 ,1.2 ,Winter,240,0,Yes,No,No,No,Yes,New,Traditional,Traditional,5.38 ,112 
7.8 ,400 ,10.3 ,1.2 ,Winter,360,0,Yes,No,No,No,Yes,New,Traditional,Traditional,4.58 ,255 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,Yes,New,Optimized,Traditional,7.90 ,-8 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,Yes,New,Optimized,Traditional,5.62 ,57 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,Yes,New,Traditional,Traditional,6.48 ,32 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,No,New,Optimized,Traditional,7.82 ,-6 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,No,New,Optimized,Traditional,5.74 ,53 
13.9 ,708 ,5.3 ,0.9 ,Winter,180,0,Yes,Yes,Yes,No,No,New,Traditional,Traditional,6.35 ,36 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.26 ,68 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.47 ,63 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.79 ,53 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.48 ,62 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.29 ,39 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.55 ,32 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.74 ,54 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,4.66 ,86 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.00 ,75 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,4.73 ,84 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.33 ,66 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,3.62 ,116 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,4.58 ,87 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,3.34 ,123 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,4.51 ,89 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,4.23 ,98 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.81 ,52 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.97 ,48 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.48 ,62 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.18 ,42 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,7.54 ,3 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.99 ,19 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.89 ,50 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,5.92 ,50 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,7.58 ,2 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.71 ,27 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.15 ,43 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,Old,Traditional,Traditional,6.23 ,41 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,6.29 ,39 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.95 ,49 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.75 ,54 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.71 ,56 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.58 ,59 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.45 ,63 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.15 ,71 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.04 ,75 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,6.02 ,46 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.84 ,52 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,4.99 ,76 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,6.06 ,46 
13.7 ,555 ,3.9 ,0.5 ,Winter,187.5,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.08 ,73 
13.7 ,555 ,3.9 ,0.5 ,Winter,100,88,Yes,Yes,No,No,No,New,Traditional,Traditional,5.36 ,66 
13.5 ,587 ,9.8 ,1.1 ,Winter,75,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.53 ,-65 
13.5 ,587 ,9.8 ,1.1 ,Winter,112.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.01 ,-41 
13.5 ,587 ,9.8 ,1.1 ,Winter,187.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.54 ,20 
13.5 ,587 ,9.8 ,1.1 ,Winter,112.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.78 ,-34 
13.5 ,587 ,9.8 ,1.1 ,Winter,112.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.27 ,-48 
13.5 ,587 ,9.8 ,1.1 ,Winter,112.5,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.03 ,-41 
13.5 ,587 ,9.9 ,1.2 ,Winter,75,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.58 ,-66 
